iter	Passed	Remaining
0	100	9935
1	166	8140
2	223	7227
3	261	6282
4	294	5603
5	339	5325
6	1419	18864
7	1464	16838
8	1518	15348
9	2618	23562
10	2666	21572
11	2729	20017
12	3770	25233
13	4808	29537
14	5067	28716
15	5171	27149
16	5429	26507
17	5482	24975
18	5522	23543
19	5573	22295
20	5658	21286
21	6266	22218
22	6321	21164
23	7470	23657
24	7524	22573
25	8460	24079
26	8512	23015
27	8551	21990
28	9493	23241
29	9610	22423
30	9663	21508
31	9706	20625
32	9748	19792
33	9787	18999
34	9827	18251
35	10277	18270
36	10327	17583
37	10363	16909
38	11308	17687
39	12185	18277
40	12227	17595
41	12262	16934
42	12302	16308
43	12379	15755
44	12576	15371
45	12684	14890
46	12724	14348
47	12772	13836
48	12809	13332
49	12915	12915
50	12967	12459
51	13071	12065
52	14147	12545
53	14179	12079
54	14240	11651
55	14272	11214
56	14468	10915
57	14506	10504
58	14545	10108
59	14585	9723
60	14626	9351
61	14662	8986
62	14969	8791
63	15007	8441
64	15038	8097
65	15086	7771
66	15303	7537
67	15456	7273
68	15542	6983
69	16060	6883
70	16096	6574
71	16944	6589
72	16979	6279
73	17031	5983
74	17070	5690
75	17113	5404
76	17158	5125
77	17309	4882
78	17348	4611
79	17390	4347
80	17433	4089
81	17481	3837
82	17516	3587
83	17963	3421
84	18101	3194
85	18771	3055
86	18809	2810
87	18851	2570
88	18909	2337
89	18944	2104
90	18983	1877
91	19045	1656
92	19080	1436
93	19114	1220
94	19164	1008
95	19201	800
96	19864	614
97	19934	406
98	20878	210
99	21399	0
