categorical_features,encoder,scaler,roc_auc,accuracy,f1,precision,recall
"gender, marriage, education",OrdinalEncoder,MinMaxScaler,0.7214318357887465,0.696375,0.48150368313423025,0.3875441589583589,0.6356376478357493
"gender, marriage, education",OneHotEncoder,MinMaxScaler,0.7232871953736347,0.6938645833333333,0.48094027467100736,0.38542096477259263,0.6394418428810605
"gender, marriage, education",WoE,MinMaxScaler,0.7218112335361611,0.6925729166666665,0.47936760440854354,0.3839017598540078,0.6380800539426303
"gender, marriage, education",OrdinalEncoder,StandardScaler,0.7239486337389731,0.6913333333333334,0.48109602283384645,0.38358257273343005,0.6451247770725292
"gender, marriage, education",OneHotEncoder,StandardScaler,0.7257874872637936,0.6891354166666667,0.48057864193513267,0.38179070593095427,0.6483654926417254
"gender, marriage, education",WoE,StandardScaler,0.724490813359865,0.6868854166666666,0.47856506806485655,0.37944890022193023,0.6478020462511294
"gender, marriage, education, age",OrdinalEncoder,MinMaxScaler,0.7215690272872821,0.696375,0.48231304091274724,0.38782724862352397,0.6377040590748562
"gender, marriage, education, age",OneHotEncoder,MinMaxScaler,0.7234418331894871,0.6934583333333333,0.48155714893151813,0.3853219499400736,0.641884171788397
"gender, marriage, education, age",WoE,MinMaxScaler,0.7220865583574742,0.6918541666666667,0.47927647777654414,0.38333075295633,0.6393480454343583
"gender, marriage, education, age",OrdinalEncoder,StandardScaler,0.7240851953076509,0.6910000000000001,0.4811551468959047,0.3833577166664996,0.6459701892855634
"gender, marriage, education, age",OneHotEncoder,StandardScaler,0.7259072434086067,0.6885625,0.48062230128624084,0.3813907236204231,0.6496804655706022
"gender, marriage, education, age",WoE,StandardScaler,0.7246289210885343,0.6866354166666666,0.47864154809325826,0.3793068510815955,0.648506547238236
"gender, marriage, education, pay_x",OrdinalEncoder,MinMaxScaler,0.7227395065908746,0.7103437499999998,0.48974063806081675,0.40192205491992317,0.6267140201320973
"gender, marriage, education, pay_x",OneHotEncoder,MinMaxScaler,0.7714151828263789,0.7791145833333333,0.5366725992726555,0.5017985613348421,0.5767897473711072
"gender, marriage, education, pay_x",WoE,MinMaxScaler,0.7664847028426264,0.78290625,0.5350134449908464,0.5095823194516809,0.5631226267343566
"gender, marriage, education, pay_x",OrdinalEncoder,StandardScaler,0.7254301411867866,0.7058645833333334,0.4890268321553438,0.39779035639086063,0.6346042326745749
"gender, marriage, education, pay_x",OneHotEncoder,StandardScaler,0.7736431672947253,0.7779270833333334,0.5371800253336187,0.4994961602626883,0.5810635362177804
"gender, marriage, education, pay_x",WoE,StandardScaler,0.7687550744734846,0.7821666666666667,0.5352659613365183,0.5080131776940753,0.565611727537221
"gender, marriage, education, age, pay_x",OrdinalEncoder,MinMaxScaler,0.7228845889326486,0.71046875,0.49004665880072895,0.4021186871249207,0.6272305291995697
"gender, marriage, education, age, pay_x",OneHotEncoder,MinMaxScaler,0.7714894909789803,0.7791458333333334,0.5365695593979274,0.5018680506234957,0.576460910396584
"gender, marriage, education, age, pay_x",WoE,MinMaxScaler,0.7666550894796622,0.7829583333333334,0.5353855087971274,0.5096786953499407,0.5638270836074376
"gender, marriage, education, age, pay_x",OrdinalEncoder,StandardScaler,0.7255658865341443,0.70628125,0.4892551394218292,0.3982241975699309,0.634275494956609
"gender, marriage, education, age, pay_x",OneHotEncoder,StandardScaler,0.7736846176012417,0.77771875,0.5368060839450877,0.4990871510308221,0.5807347433572825
"gender, marriage, education, age, pay_x",WoE,StandardScaler,0.7688485180786492,0.7822083333333334,0.5354171977410329,0.5080965431782243,0.5658465575234211
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,MinMaxScaler,0.730673515334143,0.7082499999999999,0.4879333751807494,0.39947892284547054,0.6267140201320973
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,MinMaxScaler,0.7738345216494851,0.7752395833333333,0.5368281649305204,0.49439498934385184,0.5872631007902918
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,0.7667380789775115,0.7777708333333333,0.5336608555368716,0.4991423039022121,0.5733142679867494
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,StandardScaler,0.7307138517893744,0.7082395833333333,0.48798048117433046,0.3994853890999687,0.6268549093010123
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,StandardScaler,0.773795334069581,0.7747395833333333,0.5362740269907712,0.4934529196944905,0.5872630566762662
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,StandardScaler,0.7667136798223736,0.7777395833333334,0.5335232386000043,0.4990797503665855,0.5730794049150303
