categorical_features,encoder,scaler,smote,roc_auc,accuracy,f1,precision,recall
"gender, marriage, education",OrdinalEncoder,MinMaxScaler,0,0.7196800012237163,0.80903125,0.34893154632005585,0.7154271177688897,0.2307441231019527
"gender, marriage, education",OrdinalEncoder,MinMaxScaler,1,0.7226076369923431,0.6834375,0.4745871051651558,0.37554627052554607,0.6446083231475886
"gender, marriage, education",OneHotEncoder,MinMaxScaler,0,0.7217106290613028,0.80971875,0.3527939874458389,0.7181178319046735,0.23384382818866375
"gender, marriage, education",OneHotEncoder,MinMaxScaler,1,0.7246722075375001,0.68290625,0.47577441609537263,0.3756377503966367,0.6487411787113212
"gender, marriage, education",WoE,MinMaxScaler,0,0.7203285284114644,0.8089999999999999,0.3495873389160941,0.7141714377082671,0.23144859100354004
"gender, marriage, education",WoE,MinMaxScaler,1,0.7233964933317302,0.6845000000000001,0.4760655342710735,0.37687746950478407,0.6462051074998144
"gender, marriage, education",OrdinalEncoder,StandardScaler,0,0.7230546625870845,0.81021875,0.36100853452679516,0.7127466579178703,0.2417341841017243
"gender, marriage, education",OrdinalEncoder,StandardScaler,1,0.7188867618109511,0.6788854166666667,0.46613486359495254,0.3692174262313806,0.6320682386626127
"gender, marriage, education",OneHotEncoder,StandardScaler,0,0.7248554788397048,0.81071875,0.3640304460708663,0.7143014084492949,0.24427034354128208
"gender, marriage, education",OneHotEncoder,StandardScaler,1,0.7232546871024165,0.7279895833333333,0.4868396116517493,0.4186997651311227,0.5817205263994321
"gender, marriage, education",WoE,StandardScaler,0,0.7237784449871599,0.8104895833333334,0.36258835672050715,0.7136430467533094,0.2430492893726776
"gender, marriage, education",WoE,StandardScaler,1,0.7222437517259854,0.6796666666666666,0.47145447989171296,0.3718541052050307,0.644044590015827
"gender, marriage, education, age",OrdinalEncoder,MinMaxScaler,0,0.7197902193206926,0.8086874999999999,0.3478276194694697,0.7129171668895985,0.23003960005783347
"gender, marriage, education, age",OrdinalEncoder,MinMaxScaler,1,0.7226260272221396,0.68459375,0.47559016465844756,0.37671449408534796,0.6448432854758652
"gender, marriage, education, age",OneHotEncoder,MinMaxScaler,0,0.7218728893026134,0.8094270833333332,0.35147247724076214,0.716517384429727,0.23285752680671473
"gender, marriage, education, age",OneHotEncoder,MinMaxScaler,1,0.7246871517365955,0.6813333333333333,0.47476458141883915,0.3741845636041953,0.6493520366508146
"gender, marriage, education, age",WoE,MinMaxScaler,0,0.7203601373922434,0.8086041666666667,0.34750206597224087,0.7124005342887125,0.22980475904312708
"gender, marriage, education, age",WoE,MinMaxScaler,1,0.7231760620150889,0.684125,0.47549771978900945,0.3763619057844795,0.6455478416055034
"gender, marriage, education, age",OrdinalEncoder,StandardScaler,0,0.7231555224750658,0.8101875,0.3611946775072644,0.7121603312761311,0.24196901408792434
"gender, marriage, education, age",OrdinalEncoder,StandardScaler,1,0.7191480134270737,0.6770104166666667,0.4647618250741262,0.367432767211748,0.632256208525234
"gender, marriage, education, age",OneHotEncoder,StandardScaler,0,0.7250318010314925,0.81053125,0.3632674938228435,0.7132238015181435,0.24370672069458416
"gender, marriage, education, age",OneHotEncoder,StandardScaler,1,0.7216503919704355,0.7572604166666667,0.4930503810191267,0.4592906368849702,0.5322186344040212
"gender, marriage, education, age",WoE,StandardScaler,0,0.7237730040548568,0.8103958333333333,0.3626618319200492,0.7125467049522917,0.24323703866517135
"gender, marriage, education, age",WoE,StandardScaler,1,0.7234337827475319,0.6763958333333333,0.4709358060898171,0.36944348046720765,0.6493517609381553
"gender, marriage, education, pay_x",OrdinalEncoder,MinMaxScaler,0,0.7213411438962025,0.8100104166666666,0.36838318913273077,0.7012240613168457,0.24981200256611286
"gender, marriage, education, pay_x",OrdinalEncoder,MinMaxScaler,1,0.7228731899972269,0.701625,0.48200376383261745,0.3919298358819283,0.6258688284891906
"gender, marriage, education, pay_x",OneHotEncoder,MinMaxScaler,0,0.7695545513272531,0.8221354166666668,0.4743366898688608,0.688403447094877,0.36182618169618647
"gender, marriage, education, pay_x",OneHotEncoder,MinMaxScaler,1,0.764620126304076,0.7976249999999999,0.5297823218954063,0.5465928992418366,0.5140433471031587
"gender, marriage, education, pay_x",WoE,MinMaxScaler,0,0.7656563513636223,0.8205312500000002,0.4720970831302738,0.679061165671848,0.36182625889573106
"gender, marriage, education, pay_x",WoE,MinMaxScaler,1,0.7661381526893415,0.7821979166666666,0.5345965126104688,0.5081154292152951,0.5640150424415525
"gender, marriage, education, pay_x",OrdinalEncoder,StandardScaler,0,0.7247383599282602,0.8099687499999998,0.36954888676005665,0.6993705757937905,0.25112726223615545
"gender, marriage, education, pay_x",OrdinalEncoder,StandardScaler,1,0.7212439140006955,0.6945625,0.47498360121344596,0.38382008585566674,0.6229569278375051
"gender, marriage, education, pay_x",OneHotEncoder,StandardScaler,0,0.7728006615422623,0.8221666666666666,0.47405964231112774,0.688934687676331,0.3613565106952801
"gender, marriage, education, pay_x",OneHotEncoder,StandardScaler,1,0.7649084176126173,0.8050833333333334,0.5230093889372823,0.5719539085479111,0.48182448110050374
"gender, marriage, education, pay_x",WoE,StandardScaler,0,0.7686349089897714,0.8206041666666668,0.4722969690290217,0.6793884064748361,0.36196718115016513
"gender, marriage, education, pay_x",WoE,StandardScaler,1,0.7674722199273486,0.7816041666666667,0.5336737575246123,0.506890332663948,0.5634512762242718
"gender, marriage, education, age, pay_x",OrdinalEncoder,MinMaxScaler,0,0.7212847853154882,0.8098541666666665,0.36788718528344583,0.7002161636067783,0.24948330896217233
"gender, marriage, education, age, pay_x",OrdinalEncoder,MinMaxScaler,1,0.7220270017235053,0.700875,0.4804422423372771,0.39076479770982947,0.6235675541783647
"gender, marriage, education, age, pay_x",OneHotEncoder,MinMaxScaler,0,0.769774407109456,0.82203125,0.47406249955734153,0.6879253348491663,0.3616383110901226
"gender, marriage, education, age, pay_x",OneHotEncoder,MinMaxScaler,1,0.7604363977521578,0.8057083333333332,0.5232993851275238,0.5740668255298621,0.48083834514615037
"gender, marriage, education, age, pay_x",WoE,MinMaxScaler,0,0.7657580817889814,0.8206770833333333,0.4727525189689194,0.6794560120311576,0.3624837784456887
"gender, marriage, education, age, pay_x",WoE,MinMaxScaler,1,0.7660128599361723,0.7828124999999999,0.5354088837285451,0.5093804967070927,0.5642497731711952
"gender, marriage, education, age, pay_x",OrdinalEncoder,StandardScaler,0,0.7248815497197221,0.8099479166666667,0.3696126320504836,0.6990903177512066,0.2512211699679214
"gender, marriage, education, age, pay_x",OrdinalEncoder,StandardScaler,1,0.7210452770546859,0.6929479166666666,0.4737984390726925,0.382193382308505,0.6232388054318923
"gender, marriage, education, age, pay_x",OneHotEncoder,StandardScaler,0,0.7730746477088914,0.82190625,0.4734683495411597,0.6876309436869168,0.36102771783478216
"gender, marriage, education, age, pay_x",OneHotEncoder,StandardScaler,1,0.7627633749575571,0.80953125,0.5138506713192502,0.5921997024009737,0.4538796245146492
"gender, marriage, education, age, pay_x",WoE,StandardScaler,0,0.7687076384277646,0.8206875,0.47257400457894655,0.6797086491732494,0.3622020221648715
"gender, marriage, education, age, pay_x",WoE,StandardScaler,1,0.7677461785307915,0.7818958333333333,0.5339423535801214,0.5074893165327451,0.5633103429413313
