categorical_features,encoder,scaler,smote,roc_auc,accuracy,f1,precision,recall
"gender, marriage, education",WoE,MinMaxScaler,0,0.7182855773037826,0.8084166666666667,0.3467872150302941,0.7111257828302497,0.2293841999364609
"gender, marriage, education",WoE,StandardScaler,0,0.7213154951452249,0.8100000000000002,0.3605852785313675,0.7110528851892367,0.2415951851459635
"gender, marriage, education, age",WoE,MinMaxScaler,0,0.7181845382600107,0.8082499999999999,0.34451549256242076,0.7120781130947609,0.22731723675385646
"gender, marriage, education, age",WoE,StandardScaler,0,0.721291920681775,0.8100833333333334,0.36102702891671723,0.711274251069352,0.24197147799075153
"gender, marriage, education, pay_x",WoE,MinMaxScaler,0,0.7628820970728609,0.82025,0.47110409548528576,0.6779951653293579,0.3610794592114088
"gender, marriage, education, pay_x",WoE,StandardScaler,0,0.7653101633918075,0.8199166666666666,0.4697114379484383,0.6770207243736655,0.3597649052207985
"gender, marriage, education, age, pay_x",WoE,MinMaxScaler,0,0.762725461940129,0.8202916666666666,0.471275972015181,0.67801056988183,0.3612676056338028
"gender, marriage, education, age, pay_x",WoE,StandardScaler,0,0.7650823313272589,0.8200833333333334,0.47008053742427647,0.677841656340598,0.3599526986480285
"gender, marriage, education, bill_amt, pay_amt",WoE,MinMaxScaler,0,0.7231858141981817,0.8065,0.34698602663043204,0.6902225798403681,0.2318249849977055
"gender, marriage, education, bill_amt, pay_amt",WoE,StandardScaler,0,0.7230817529488053,0.8075833333333333,0.3571460040514442,0.6899177736489299,0.2410303928836175
"gender, marriage, education, age, bill_amt, pay_amt",WoE,MinMaxScaler,0,0.7229622077034923,0.80625,0.3470652453540026,0.6873653409497175,0.2321998658618377
"gender, marriage, education, age, bill_amt, pay_amt",WoE,StandardScaler,0,0.7227338968952861,0.807625,0.3584544052853663,0.6888133664203575,0.2423452998693918
"gender, marriage, education, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,0,0.7625653115048395,0.8201666666666666,0.4687850498043823,0.6798173020412073,0.35788555896784213
"gender, marriage, education, pay_x, bill_amt, pay_amt",WoE,StandardScaler,0,0.7623619145823867,0.8202083333333332,0.4686987477169974,0.6801901291194822,0.3576977655406121
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,0,0.7621749333657499,0.8198333333333332,0.46763058244933875,0.6784573499009534,0.3569465918316919
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,StandardScaler,0,0.7622676589198646,0.82,0.4682582246680143,0.6790180057552971,0.357509972113382
