categorical_features,encoder,scaler,smote,roc_auc,accuracy,f1,precision,recall
"gender, marriage, education",OrdinalEncoder,MinMaxScaler,0,0.7211262180936411,0.6966354166666667,0.48118966643507133,0.3876481148161324,0.6342756162701791
"gender, marriage, education",OrdinalEncoder,MinMaxScaler,1,0.7226441349913827,0.6874062499999999,0.47726100279832223,0.3793238513016711,0.6433871697224267
"gender, marriage, education",OneHotEncoder,MinMaxScaler,0,0.7230071668657667,0.6940937500000001,0.4807463053577855,0.3855300981857959,0.6384556517841752
"gender, marriage, education",OneHotEncoder,MinMaxScaler,1,0.7245967778887756,0.6848229166666667,0.4768938165399961,0.377361379841682,0.6477552081845633
"gender, marriage, education",WoE,MinMaxScaler,0,0.7216341131443452,0.6920624999999999,0.4782278156418869,0.38309489990408074,0.6362483182906344
"gender, marriage, education",WoE,MinMaxScaler,1,0.7233051599135301,0.6853020833333332,0.4766262382096973,0.37760307867058257,0.6460645381575842
"gender, marriage, education",OrdinalEncoder,StandardScaler,0,0.7237294996301855,0.69090625,0.4806804634113358,0.38312427866126536,0.6449368402954272
"gender, marriage, education",OrdinalEncoder,StandardScaler,1,0.718257910587449,0.6803229166666667,0.4665620586820015,0.3703780751183263,0.6303304658849147
"gender, marriage, education",OneHotEncoder,StandardScaler,0,0.7256247236212855,0.6893020833333334,0.4807678036077376,0.38198107057209896,0.6485064259246658
"gender, marriage, education",OneHotEncoder,StandardScaler,1,0.7237919415906967,0.7261770833333333,0.4875999471551741,0.4168170974140348,0.5874506846551899
"gender, marriage, education",WoE,StandardScaler,0,0.7242593525689397,0.6870312499999999,0.4783378171216707,0.379469562505453,0.6469096746579591
"gender, marriage, education",WoE,StandardScaler,1,0.7226206163055238,0.6763541666666667,0.4697149871871762,0.36895563103741386,0.6462519786518997
"gender, marriage, education, age",OrdinalEncoder,MinMaxScaler,0,0.721305706143865,0.696375,0.4821929542347127,0.3877957553747767,0.6373753654709156
"gender, marriage, education, age",OrdinalEncoder,MinMaxScaler,1,0.7227796844493163,0.6834166666666667,0.4746783138516547,0.3755909663337366,0.6448430097632059
"gender, marriage, education, age",OneHotEncoder,MinMaxScaler,0,0.7233463410058312,0.6939791666666666,0.48167027278412033,0.38575946067187405,0.6410856086704353
"gender, marriage, education, age",OneHotEncoder,MinMaxScaler,1,0.7247798298673374,0.68203125,0.47499890834803676,0.3747293986759054,0.6485536058749294
"gender, marriage, education, age",WoE,MinMaxScaler,0,0.721631722258023,0.69246875,0.48046264249659315,0.3841955573864283,0.6411327775921926
"gender, marriage, education, age",WoE,MinMaxScaler,1,0.7233857913891063,0.6832812500000001,0.47599217062641913,0.376005683409167,0.6485063928391467
"gender, marriage, education, age",OrdinalEncoder,StandardScaler,0,0.7238510365319366,0.6910625,0.48102349991072757,0.3833565699425486,0.6455005403416698
"gender, marriage, education, age",OrdinalEncoder,StandardScaler,1,0.7186241999737832,0.6768541666666666,0.46480595854698636,0.3673420187620437,0.6326789201460042
"gender, marriage, education, age",OneHotEncoder,StandardScaler,0,0.7258424052304825,0.6890104166666667,0.481576197540517,0.3820561410625774,0.6512305111128194
"gender, marriage, education, age",OneHotEncoder,StandardScaler,1,0.7213098512111322,0.7573020833333334,0.49339374180097517,0.45940976794922744,0.5328761208684596
"gender, marriage, education, age",WoE,StandardScaler,0,0.7243052801211138,0.6863229166666667,0.47833211380851604,0.3789602462923515,0.6483656470408146
"gender, marriage, education, age",WoE,StandardScaler,1,0.7236571706276328,0.6738125,0.4712033293891401,0.3679115948493848,0.6552226319067261
"gender, marriage, education, pay_x",OrdinalEncoder,MinMaxScaler,0,0.7224484866170663,0.7110937500000001,0.489995090651891,0.40266642538417985,0.6257278400637183
"gender, marriage, education, pay_x",OrdinalEncoder,MinMaxScaler,1,0.7228140654626147,0.7010833333333333,0.48144378450075287,0.3912800386933517,0.6256340536455224
"gender, marriage, education, pay_x",OneHotEncoder,MinMaxScaler,0,0.7713733128920649,0.7793125,0.5366537607447192,0.5021925805492246,0.5762261245244094
"gender, marriage, education, pay_x",OneHotEncoder,MinMaxScaler,1,0.7642625090211379,0.7971979166666666,0.5298916370175231,0.5453689535333348,0.5153111841957975
"gender, marriage, education, pay_x",WoE,MinMaxScaler,0,0.766535756559693,0.7826666666666667,0.534699590412186,0.5090888338021022,0.5630286418030461
"gender, marriage, education, pay_x",WoE,MinMaxScaler,1,0.7661926814116772,0.7821979166666667,0.53504970662355,0.5080941263188715,0.5650483914316886
"gender, marriage, education, pay_x",OrdinalEncoder,StandardScaler,0,0.7251765834498259,0.7057916666666666,0.4886306671699664,0.3975953538669266,0.6337589417751109
"gender, marriage, education, pay_x",OrdinalEncoder,StandardScaler,1,0.7214493263763547,0.6921770833333334,0.4734577795426306,0.3815044068350078,0.6239432402479606
"gender, marriage, education, pay_x",OneHotEncoder,StandardScaler,0,0.7735755226988983,0.778,0.5372571408885425,0.4996273137335227,0.5810635472462867
"gender, marriage, education, pay_x",OneHotEncoder,StandardScaler,1,0.7650580031512867,0.8052916666666666,0.5241236014939311,0.5723324645257103,0.4834680594052701
"gender, marriage, education, pay_x",WoE,StandardScaler,0,0.7687149566415041,0.78203125,0.5350705587871094,0.5077362224917883,0.5655177977484422
"gender, marriage, education, pay_x",WoE,StandardScaler,1,0.7665874009544346,0.7811875,0.5341105807765885,0.5060146625199146,0.5655176323208466
"gender, marriage, education, age, pay_x",OrdinalEncoder,MinMaxScaler,0,0.7225942577746359,0.71040625,0.4894538203849699,0.4018795521361803,0.6258686520330886
"gender, marriage, education, age, pay_x",OrdinalEncoder,MinMaxScaler,1,0.722163272533259,0.6997604166666667,0.48033400260234177,0.3898676671114387,0.6255869619233098
"gender, marriage, education, age, pay_x",OneHotEncoder,MinMaxScaler,0,0.7717040644062587,0.77921875,0.5369518821855458,0.5019979224872168,0.5771654334407031
"gender, marriage, education, age, pay_x",OneHotEncoder,MinMaxScaler,1,0.7602051864915078,0.8056041666666666,0.523785026290138,0.5734973736407257,0.4820122303929975
"gender, marriage, education, age, pay_x",WoE,MinMaxScaler,0,0.7666199685800439,0.7829895833333335,0.5347963931416849,0.5097673498220284,0.5624181588327694
"gender, marriage, education, age, pay_x",WoE,MinMaxScaler,1,0.7660903846266717,0.7825625,0.5350579628647083,0.508865908255375,0.564108729603191
"gender, marriage, education, age, pay_x",OrdinalEncoder,StandardScaler,0,0.7253365163896077,0.70625,0.48946834610550116,0.39826442349420144,0.6348861984970131
"gender, marriage, education, age, pay_x",OrdinalEncoder,StandardScaler,1,0.7205009743962307,0.6937916666666666,0.4747983286863972,0.3831885644565039,0.6240371148942073
"gender, marriage, education, age, pay_x",OneHotEncoder,StandardScaler,0,0.7739223786102645,0.7779791666666667,0.5371572040508987,0.4995878387537841,0.5808756766402229
"gender, marriage, education, age, pay_x",OneHotEncoder,StandardScaler,1,0.7629094295601673,0.8100520833333332,0.5140143612947232,0.5942774259558145,0.4529403045698491
"gender, marriage, education, age, pay_x",WoE,StandardScaler,0,0.7688076730410934,0.7821770833333334,0.5348027491109351,0.5080515410678494,0.5645315845945442
"gender, marriage, education, age, pay_x",WoE,StandardScaler,1,0.7671517862151016,0.7814270833333333,0.5337411739335068,0.5065181517729707,0.5640618363940931
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,MinMaxScaler,0,0.7303576381129017,0.7086770833333335,0.48805507104097756,0.3998906854102085,0.6261035481903269
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,MinMaxScaler,1,0.7236047780374608,0.7071458333333334,0.48297519841033915,0.3969168090684277,0.6167102825712873
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,MinMaxScaler,0,0.7739580862394032,0.7755729166666667,0.537054096368594,0.49501416358326855,0.5869344182148576
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,MinMaxScaler,1,0.7599417555521987,0.8112291666666668,0.49483355550659613,0.6087766708336935,0.41687043854083594
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,0,0.7665615381865217,0.7780416666666666,0.5338406022301002,0.4996700220899524,0.5730325117059324
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,1,0.7655394369788405,0.7774791666666666,0.5340668232342785,0.49857433680850827,0.5750050372702858
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,StandardScaler,0,0.7304100688182849,0.7085729166666667,0.4881351482597104,0.3998256273858571,0.6265262377540843
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,StandardScaler,1,0.7226650632013485,0.7077708333333333,0.48264942471781175,0.39734741868049017,0.6145970112086019
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,StandardScaler,0,0.77394536986344,0.7751979166666667,0.5368405362839042,0.49432156501358315,0.5874040451017385
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,StandardScaler,1,0.7594920180018796,0.8116875,0.49345828332813124,0.6117139340121966,0.41358303930416296
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,StandardScaler,0,0.7665139632879867,0.7779375,0.5337244268756829,0.4994670229608612,0.5730325117059325
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,StandardScaler,1,0.7660857311877125,0.7776145833333332,0.5333793106299594,0.4988304303364048,0.5730795593141195
