categorical_features,encoder,scaler,smote,roc_auc,accuracy,f1,precision,recall
"gender, marriage, education",OrdinalEncoder,MinMaxScaler,0,0.7211262180936411,0.6966354166666667,0.48118966643507133,0.3876481148161324,0.6342756162701791
"gender, marriage, education",OneHotEncoder,MinMaxScaler,0,0.7230071668657667,0.6940937500000001,0.4807463053577855,0.3855300981857959,0.6384556517841752
"gender, marriage, education",WoE,MinMaxScaler,0,0.7216341131443452,0.6920624999999999,0.4782278156418869,0.38309489990408074,0.6362483182906344
"gender, marriage, education",OrdinalEncoder,StandardScaler,0,0.7237294996301855,0.69090625,0.4806804634113358,0.38312427866126536,0.6449368402954272
"gender, marriage, education",OneHotEncoder,StandardScaler,0,0.7256247236212855,0.6893020833333334,0.4807678036077376,0.38198107057209896,0.6485064259246658
"gender, marriage, education",WoE,StandardScaler,0,0.7242593525689397,0.6870312499999999,0.4783378171216707,0.379469562505453,0.6469096746579591
"gender, marriage, education, age",OrdinalEncoder,MinMaxScaler,0,0.721305706143865,0.696375,0.4821929542347127,0.3877957553747767,0.6373753654709156
"gender, marriage, education, age",OneHotEncoder,MinMaxScaler,0,0.7233463410058312,0.6939791666666666,0.48167027278412033,0.38575946067187405,0.6410856086704353
"gender, marriage, education, age",WoE,MinMaxScaler,0,0.721631722258023,0.69246875,0.48046264249659315,0.3841955573864283,0.6411327775921926
"gender, marriage, education, age",OrdinalEncoder,StandardScaler,0,0.7238510365319366,0.6910625,0.48102349991072757,0.3833565699425486,0.6455005403416698
"gender, marriage, education, age",OneHotEncoder,StandardScaler,0,0.7258424052304825,0.6890104166666667,0.481576197540517,0.3820561410625774,0.6512305111128194
"gender, marriage, education, age",WoE,StandardScaler,0,0.7243052801211138,0.6863229166666667,0.47833211380851604,0.3789602462923515,0.6483656470408146
"gender, marriage, education, pay_x",OrdinalEncoder,MinMaxScaler,0,0.7224484866170663,0.7110937500000001,0.489995090651891,0.40266642538417985,0.6257278400637183
"gender, marriage, education, pay_x",OneHotEncoder,MinMaxScaler,0,0.7713733128920649,0.7793125,0.5366537607447192,0.5021925805492246,0.5762261245244094
"gender, marriage, education, pay_x",WoE,MinMaxScaler,0,0.766535756559693,0.7826666666666667,0.534699590412186,0.5090888338021022,0.5630286418030461
"gender, marriage, education, pay_x",OrdinalEncoder,StandardScaler,0,0.7251765834498259,0.7057916666666666,0.4886306671699664,0.3975953538669266,0.6337589417751109
"gender, marriage, education, pay_x",OneHotEncoder,StandardScaler,0,0.7735755226988983,0.778,0.5372571408885425,0.4996273137335227,0.5810635472462867
"gender, marriage, education, pay_x",WoE,StandardScaler,0,0.7687149566415041,0.78203125,0.5350705587871094,0.5077362224917883,0.5655177977484422
"gender, marriage, education, age, pay_x",OrdinalEncoder,MinMaxScaler,0,0.7225942577746359,0.71040625,0.4894538203849699,0.4018795521361803,0.6258686520330886
"gender, marriage, education, age, pay_x",OneHotEncoder,MinMaxScaler,0,0.7717040644062587,0.77921875,0.5369518821855458,0.5019979224872168,0.5771654334407031
"gender, marriage, education, age, pay_x",WoE,MinMaxScaler,0,0.7666199685800439,0.7829895833333335,0.5347963931416849,0.5097673498220284,0.5624181588327694
"gender, marriage, education, age, pay_x",OrdinalEncoder,StandardScaler,0,0.7253365163896077,0.70625,0.48946834610550116,0.39826442349420144,0.6348861984970131
"gender, marriage, education, age, pay_x",OneHotEncoder,StandardScaler,0,0.7739223786102645,0.7779791666666667,0.5371572040508987,0.4995878387537841,0.5808756766402229
"gender, marriage, education, age, pay_x",WoE,StandardScaler,0,0.7688076730410934,0.7821770833333334,0.5348027491109351,0.5080515410678494,0.5645315845945442
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,MinMaxScaler,0,0.7303576381129017,0.7086770833333335,0.48805507104097756,0.3998906854102085,0.6261035481903269
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,MinMaxScaler,0,0.7739580862394032,0.7755729166666667,0.537054096368594,0.49501416358326855,0.5869344182148576
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,0,0.7665615381865217,0.7780416666666666,0.5338406022301002,0.4996700220899524,0.5730325117059324
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,StandardScaler,0,0.7304100688182849,0.7085729166666667,0.4881351482597104,0.3998256273858571,0.6265262377540843
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,StandardScaler,0,0.77394536986344,0.7751979166666667,0.5368405362839042,0.49432156501358315,0.5874040451017385
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,StandardScaler,0,0.7665139632879867,0.7779375,0.5337244268756829,0.4994670229608612,0.5730325117059325
